GENUS,SPECIES,SUBSPECIES,AUTHOR,YEAR,PUBLISHED?,REFERENCE,NAME IN REFERENCE,LONDEG,LONMIN,LONSEC,LATDEG,LATMIN,LATSEC,COUNTRY,REGION,LOCALITY,SITE,DAY,MONTH,YEAR,NO SPEC,MALES?,SEX RATIO,ALTITUDE,DEPTH,pH,TEMP,COND,ENVIRONMENT,NATURAL HABITAT,ARTIFICIAL HABITAT,DURATION,WATER CHEMISTRY,SUBSTRATE,VEGETATION,AGE,ZONE OF COLL,COMMENTS,VALIDATION STATUS OF COORDINATES
Potamocypris,zschokkei,,(Kaufmann),1900,1,Fryer 1993,Potamocypris zschokkei (Kaufmann),-2,-8,-30,54,5,30,England,North Yorkshire,Great Close Mire,,,,,,U,,378,,7.97,,360,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Potamocypris,fallax,,Fox,1967,1,Fryer 1993,Potamocypris fallax Fox,-2,-8,-30,54,5,30,England,North Yorkshire,Great Close Mire,,,,,,U,,378,,7.97,,360,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Potamocypris,fallax,,Fox,1967,1,Fryer 1993,Potamocypris fallax Fox,-2,-8,-2,54,4,3,England,North Yorkshire,Gordale Scar,,,,,,U,,243,,7.7,,365,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Potamocypris,fallax,,Fox,1967,1,Fryer 1993,Potamocypris fallax Fox,-2,-8,-2,54,4,3,England,North Yorkshire,Gordale Scar,,,,,,U,,243,,7.53,,215,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Eucypris,pigra,,(Fischer),1851,1,Fryer 1993,Eucypris pigra (Fischer),-2,-29,0,54,22,0,England,North Yorkshire,Cautley Crag,,,,,,U,,,,,,,LENTIC,SEEPAGE,,,FRESHWATER,MUD,,POST_LAST_GLACIATION,,,amber
Eucypris,virens,,(Jurine),1820,1,Fryer 1993,Eucypris virens (Jurine),-2,-29,-19,54,22,11,England,North Yorkshire,Cautley Crag,,,,,,U,,262,,,,,LOTIC,SEEPAGE,,,FRESHWATER,MUD,,POST_LAST_GLACIATION,,,amber
Heterocypris,incongruens,,(Ramdohr),1808,1,Fryer 1993,Heterocypris incongruens (Ramdohr),-2,-29,0,54,22,0,England,North Yorkshire,Cautley Crag,,,,,,U,,,,,,,LENTIC,SEEPAGE,,,FRESHWATER,MUD,,POST_LAST_GLACIATION,,,amber
Cypria,ophtalmica,,(Jurine),1820,1,Fryer 1993,Cypria ophthalmica (Jurine),0,-45,-7,54,24,21,England,North Yorkshire,Goathland,Randy Mere,,,,,U,,,,,,,LENTIC,LAKE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cypria,ophtalmica,,(Jurine),1820,1,Fryer 1993,Cypria ophthalmica (Jurine),0,-53,-58,54,19,26,England,North Yorkshire,Spaunton Moor,,,,,,U,,,,,,,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Cyclocypris,ovum,,(Jurine),1820,1,Fryer 1993,Cyclocypris ovum (Jurine),0,-53,-58,54,19,26,England,North Yorkshire,Spaunton Moor,,,,,,U,,,,,,,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Notodromas,monacha,,(O.F. Mueller),1776,1,Fryer 1993,Notodromas monacha (O.F.Muller),0,-53,-58,54,19,26,England,North Yorkshire,Spaunton Moor,,,,,,U,,,,,,,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
